,dates,comments
0,20 Mayıs,"Ürünün ucu tırtıklı,çok güzel kesiyor ama sap kısmı parlak değil satış fotoğrafında parlak görünüyor mat sadece ,üstünde marka amblemi ve üretildiği yer basılı ben memnun kalarak kullanıyorum"
1,30 Haziran,Bıçaklar harika ilk defa bukadar güzeline rastladım kalitesi muhteşem ben ne olur ne olmaz diye makinaya atmıyorum. Herşeyi çok iyi kesiyor patatesi keserken sanki tereyağı keser gibi hiç zorlanmıyorsunuz bazıları et keserkende kullanılabilir demişler denedim ama tırtıklı olduğu için takılıyordu kesermiydi evet keserdi ama bıçak acayip keskin arkadaşlar çok dikkatli olun o yüzden fazla zorlamadım ben . Satıcıyada çok teşekkürler sorunsuz ulaştırdığı için.
2,10 Haziran,Mükemmell
3,11 Ekim,İşte tam aradığım orijinal bıçaklar.alirken tereddüt etmiştim daha önce başka bi yerden aldığım orijinal çıkmayınca..ama bu kesinlikle orijinal çıktı.gonul rahatlığıyla alabilirsiniz ben bı şey daha alacağım.. teşekkürler
4,01 Ağustos,Bu markanın bıçaklarını her türlü ürünü doğramada kullanıyorum. Keskinlikleri çok iyi ve uzun sürede körelmiyorlar. Yumuşak meyve ve sebzeleri ezmeden çok rahat doğrayabiliyorum
5,14 Kasım,fiyatına göre kaliteli bir ürün aynı markayı almanyadan almıştım kaliteleri aynı gibi
6,30 Mayıs,Ürünü çeyiz için aldım çok güzel orjinalini hakkında bilgim yok ama kaliteli görünüyor bu fiyata kaçırmayın derim satıcı güzel paketlemişti teşekkür ederim.
7,11 Ekim,oldukça keskin
8,14 Ekim,Parmağımı kestim o derce keskin yani😊
9,01 Kasım,Güzel beğendik
10,04 Haziran,Çok beğendim ceyizim için aldım solingen zaten bı de indirimli oh miss
11,21 Mayıs,Sade meyve bıçağı olarak değil her şey için kullanılır küçük kibar keskin
12,18 Mayıs,Çeyiz için aldık. Güzel keskin
13,21 Mayıs,Daha öncede kullandığım bir marka harika orjinal ürün teşekkürler
14,19 Mayıs,Jilet gibi çok güzel
15,04 Haziran,Kardeşimin ceyizine aldım çok beğendi 👍🏻
16,01 Haziran,tek kelıme ile muhtesem her eve lazım bence
17,08 Haziran,Hiç açmadım ama görünüşü gayet güzeldi
18,27 Mayıs,Harikaaaa bir şey bunlar
19,24 Mayıs,Mükemmele keskinlik
20,22 Nisan,Beğendim tavsiye ederim
21,09 Haziran,Süper amacına Uygun kullanım herkese tavsiyem
22,14 Haziran,orijinalliği konusunda emin değilim. Kesiyor mu? kesiyor evet.
23,10 Eylül,Süper
24,19 Ekim,Bıçaklar iyi gibiydi fakat kulp kısmında deformasyon vardı daha öncede çok aldım ama ilk kez böle sıkıntılı geldi
25,16 Mayıs,Müthiş
26,23 Mayıs,Güzel kullanışlı
27,22 Temmuz,Ürünü EVBANK kullanıcısından aldım farklı bir model gönderdi. İade ile uğraşmak istemedim ama hoşuma gitmedi modeli.
28,12 Mayıs,Tırtıklı yazmadığı için düz zannedip aldım o yüzden bir yıldız kirdim
29,13 Haziran,Genel görünümü güzel keskinliği iyi ama marka bölümü çok yukarıya yakın gibi biraz orantısız yazılmış olunca orijinal mi diye bir tereddüt hissi veriyor.
30,09 Haziran,Bu markada bıçak yurt dışından bir tane bana arkadaşım getirmişti. Ben de takımı tamamlamak için almıştım ama bıçaklar onun gibi değil o çok daha keskin orijinal olup olmadığına emin olamadım o yüzden
31,15 Kasım 2021,Ürün kaliteli gerçek alman markası
32,20 Mayıs,Saplarının plastigi çok kötü
33,19 Mayıs,Sapları çok uyduruk fotolardaki gibi canlı değil rengi hafif
34,24 Mayıs,Ürün sahte
35,27 Eylül 2021,Paketsiz ve özensiz gönderim dışında güzel bir ürün .
